Epochs LR Layer1 Layer2 Layer3 BestWaveLength Accuracy MinTrainLoss MinTestLoss RedEff RedPur WhiteEff WhitePur BlackEff BlackPur 
100 0.01 1 na na 1336.5 28.125 0.9964197874069214 1.027127981185913 86.53846153846155 31.03448275862069 0.0 na 0.0 0.0 

100 0.01 4 na na 2443.5 69.375 0.6480109095573425 0.5825339555740356 67.3076923076923 94.5945945945946 93.02325581395348 57.14285714285714 55.38461538461539 67.9245283018868 

100 0.01 1 1 na 354.0 40.625 1.0828791856765747 1.0848519802093506 0.0 na 0.0 na 100.0 40.625 

100 0.01 1 4 na 354.0 40.625 1.0828790664672852 1.0848513841629028 0.0 na 0.0 na 100.0 40.625 

100 0.01 4 1 na 351.0 40.625 1.0828791856765747 1.0848116874694824 0.0 na 0.0 na 100.0 40.625 

100 0.01 4 4 na 351.0 40.625 1.0828791856765747 1.0848443508148193 0.0 na 0.0 na 100.0 40.625 

100 0.001 1 na na 378.0 40.625 1.0828790664672852 1.0848500728607178 0.0 na 0.0 na 100.0 40.625 

100 0.001 4 na na 2443.5 71.875 0.6948801279067993 0.6430845856666565 73.07692307692307 95.0 51.162790697674424 70.96774193548387 84.61538461538461 61.79775280898876 

100 0.001 1 1 na 357.0 40.625 1.0828790664672852 1.0848499536514282 0.0 na 0.0 na 100.0 40.625 

100 0.001 1 4 na 2443.5 76.875 0.728244960308075 0.6766791343688965 69.23076923076923 94.73684210526315 90.69767441860465 70.9090909090909 73.84615384615385 71.64179104477611 

100 0.001 4 1 na 363.0 40.625 1.0828791856765747 1.0848499536514282 0.0 na 0.0 na 100.0 40.625 

100 0.001 4 4 na 2443.5 71.25 0.6731260418891907 0.6033856868743896 69.23076923076923 94.73684210526315 97.67441860465115 58.333333333333336 55.38461538461539 72.0 

